repo,sha
openelections/openelections-data-ca,784f14bf6771c687251d4b026a7ea81fcd149d82
Kuifje02/vrpy,433b2a21d6932f68a6265b7269d2e6c939ad269c
NVISOsecurity/ee-outliers,d8af060b4c0a316ec364856449b0be27b92d7d7e
couchbase/couchbase-cli,33e24cd778486a7a0a232c3ee3cb84a0f2982472
hashsploit/clank,8a9cae69fdedc345719976b6a6072862e22e89a9
deepcurator/DCC,38703eb47db0c0db88dab1ce5c907f46e424e8aa
JetBrains-Research/code2seq,6009998de7e4e93e07a418c1ccd5dd14b1ab294a
NASA-IMPACT/pyQuARC,cfb97dd7086cc2f3cc7573ecf887765bdcc2221b
allenporter/python-google-nest-sdm,906d3191b35daccdc4de10d4ba1c16645234f988
allenporter/python-google-nest-sdm,519099596ae5e8f11b7f9163f6334782849ac642
soarsmu/attack-pretrain-models-of-code,f31e891239245bab128b2fbafc105603d5fffa69
NASA-IMPACT/pyQuARC,b5af3c3e02dbbf9765ad9504d40783122ceada48
michaeljoseph/changes,81dfa6b44041d124c3c6195bb8dce926138242bf
scrapinghub/shub-workflow,f290a58b4f27bc254bf15d1942ed103cda8063cd
FlansMods/FlansMod,f7103b77091baa6c34d346db08ea8146b87c9f65
veraPDF/veraPDF-library,1a86148b0dc154eb14c2dfd14a07fe92a1ee747f
uc-cdis/gen3sdk-python,4d46a1d265580f90b2971f1d936deaf49fe2c6f0
lbalazscs/Pixelitor,63cf4990111694a6c0d310824b5731e82b8ce6a3
artipie/asto,75f79320176c41d513d2c741f25441b03b2b9430
Kuifje02/vrpy,9ad40ceb47b082548e0a522adbae7b562b990d6a
alphagov/notifications-utils,09edcb444c558abd951017bc98c8962bb972e032
Oneflow-Inc/OneFlow-Benchmark,ab25b4d5b771ad092af23402e0640666b66fa4e7
airmessage/airmessage-android,edf2776d9a0f685d4728d6b003f3d66aebdaa0cf
apache/maven-release,fb6cc103b62f1a1aaad9e137732a38fddea2c21c
NVISOsecurity/ee-outliers,8423336451520d1d21354a40666917cc7a4e6eb1
artipie/asto,694598ac021b0a9550fa8e3a2b52cfd741be6051
camel-tooling/camel-language-server,0ba0b844f0a3010cf0b7e55093fe0c676d3e5d38
michaeljoseph/changes,f302fe046a95596b68a5e4274d321c94a758830a
CyclopsMC/CyclopsCore,779c2ddb2357e662156d61ff5d15d47cfd7254a3
Oneflow-Inc/OneFlow-Benchmark,e447fffdbb552ad11da4cadf8ff2a4cabde105c8
veraPDF/veraPDF-library,97c2f5ec962edecb71c01bca723bf02127a2daef
DbMaintain/dbmaintain,76d02d3ae11765684ae069846671821839c1491b
graywolf336/Jail,1cfca8bc873b2e492b76f366112c83a90d86813f
hashsploit/clank,1233b6ced731c1d286300355810a952c8dd8da9f
apache/maven-release,9db2463b49d6a2f6fcdac25b3a77e0b366b155c4
veraPDF/veraPDF-library,e1da3ecfc3ef077d2eb0d8436b6f4ffbe1b535f6
